           5985           5985           פניני שוקולד חלב כסופים 100 ג000000000000                    0000012.50                                             058231                        אלמנדוס0000000.00
           6072           6072                     אגרטל מסולסל 35 ס"מ000000000000                    0000042.88                                             512356              טולמנס ישראל בע"מ0000000.00
           6080           6080                         אגרטל מסולסל 42000000000000                    0000060.59                                             512356              טולמנס ישראל בע"מ0000000.00
           6169           6169                         מקל וניל ולרונה000000000000                    0000007.70                                             025863               ממלכת האפייה בעמ0000000.00
           6232           6232                      זיכוי חשבונית 6232000000000000                    0000069.43                                             008727       גו מרקטינג סוכנויות בע"מ0000000.00
           6384           6384                               זיכוי נוב000000000000                    0000041.02                                             008727       גו מרקטינג סוכנויות בע"מ0000000.00
           6400           6400                       לפתניה רב שימושית000000000000                    0000005.94                                             006699                         איזיגן0000000.00
           6899           6899                         קערה 29.5 אלינה000000000000                    0000044.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           7036           7036                        קערה על רגל קטנה000000000000                    0000019.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           7037           7037                      קערה על רגל בינוני000000000000                    0000042.67                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           7510           7510                          קערה 20.5 מרקש000000000000                    0000023.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           7792           7792                           צנטר קפטן קוק000000000000                    0000012.90                                             003008         פוקס רן אוסטרליה ישראל0000000.00
           7868           7868                        חותכן אדום צורות000000000000                    0000004.40                                             052369                       קפטן קוק0000000.00
           7894           7894                       אבקת שקדים 003 גר000000000000                    0000001.00                                             001188                          טייסט0000000.00
           7979           7979                        קערה אובלית מרקש000000000000                    0000061.85                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           8039           8039                          ארגז לחם מלבני000000000000                    0000063.75                                             052364               אדגרדו פלסל בע"מ0000000.00
           8563           8563                 מעמד לכף סיליקון צבעוני000000000000                    0000003.00                                             000001                           כללי0000000.00
           8928           8928                     קופסת פח עגולה קטנה000000000000                    0000020.00                                             658932              נייס אנד פופ בע"מ0000000.00
           8929           8929                  קופסת פח עגולה בינונית000000000000                    0000020.00                                             658932              נייס אנד פופ בע"מ0000000.00
           8930           8930                    קופסת פח עגולה גדולה000000000000                    0000020.00                                             658932              נייס אנד פופ בע"מ0000000.00
           9002           9002                    סכומון 6 תאים אובאלי000000000000                    0000001.00                                             052364               אדגרדו פלסל בע"מ0000000.00
           9004           9004                         קרש חיתוך ומגבת000000000000                    0000001.00                                             000001                           כללי0000000.00
           9007           9007                ביאנקה אובאלית, מגבת וכף000000000000                    0000001.00                                             000001                           כללי0000000.00
           9008           9008               ביאנקה 2 קעריות 2 ציפורים000000000000                    0000001.00                                             000001                           כללי0000000.00
           9010           9010               מספריים לעשבי תיבול + מגב000000000000                    0000001.00                                             000001                           כללי0000000.00
           9011           9011                       מצקת מסננת + מגבת000000000000                    0000001.00                                             000001                           כללי0000000.00
           9012           9012               סט קערות ניו יורק וכף הגש000000000000                    0000001.00                                             000001                           כללי0000000.00
           9013           9013                  מערבל רוטב וסוחט לימון000000000000                    0000001.00                                             000001                           כללי0000000.00
           9014           9014                   קערת זכוכית, מגבת וכף000000000000                    0000001.00                                             000001                           כללי0000000.00
           9016           9016               סט קערות ניו יורק + כף ני000000000000                    0000001.00                                             000001                           כללי0000000.00
           9019           9019                סט 3 מגבות כותנה איכותית000000000000                    0000025.50                                             000005                    יעקוב טוינה0000000.00
           9053           9053                    קפוצ'ינו 230 ברצלונה000000000000                    0000011.36                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           9620           9620                            צנטר פוקס רן000000000000                    0000005.50                                             003008         פוקס רן אוסטרליה ישראל0000000.00
           9655           9655                      קנקן 1.5 ליטר אלפה000000000000                    0000048.95                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           9867           9867                              פורס ירקות000000000000                    0000005.00                                             000001                           כללי0000000.00
           9999           9999                הנחת מזומן חשבונית 16237000000000000                    0000001.00                                             053595                        פלורליס0000000.00
          10010          10010                             פלטה אובלית000000000000                    0000012.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
          10011          10011                      קורנינג מרק מסורתי000000000000                    0000013.00                                             003005                     זולר טרייד0000000.00
          10284          10284                     צלוחית חטיפים קקטוס000000000000                    0000019.00                                             253214            הפינס צ.ד יזמות בעמ0000000.00
          11651          11651                          זיכוי 2 טולמנס000000000000                    0000035.39                                             512356              טולמנס ישראל בע"מ0000000.00
          11689          11689                            זיכוי חוסרים000000000000                    0000158.47                                             586321          גוונים מתנות וכלי בית0000000.00
          11837          11837                       שייקר לקוקטייל פח000000000000                    0000001.00                                             658932              נייס אנד פופ בע"מ0000000.00
          12545          12545                        מגנט 45 סמ ברוקס000000000000                    0000021.50                                             685324              דב לובלינסקי ובנו0000000.00
          12873                                          מפיון נירוסטה000000000000                    0000016.25                                             510892              הפתעה יבוא ושיווק0000000.00
          13025          13025                          תרמוס תה מסננת000000000000                    0000030.11                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
          13165          13165                       תמר לינדר המושלמת000000000000                    0000100.00                                             000001                           כללי0000000.00
          14017          14017                             כוס מדריד L000000000000                    0000012.50                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
          15002          15002                   לוח אוקולון לבן 30*40000000000000                    0000039.55                                             010002                       רוסולינג0000000.00
          15006          15006                  לוח אוקולון אדום 30*40000000000000                    0000042.70                                             010002                       רוסולינג0000000.00
